TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Botswana,8013200,202604,08 - Fruit and nuts,5.0,601
Exports,Botswana,8011110,202604,08 - Fruit and nuts,209.0,19844
Exports,Botswana,8011290,202604,08 - Fruit and nuts,6.0,1513
Exports,Botswana,8011190,202604,08 - Fruit and nuts,115.5,6401
Exports,Botswana,8013200,202604,08 - Fruit and nuts,1320.16,186348
Exports,Botswana,8028000,202604,08 - Fruit and nuts,27.72,5040
Exports,Botswana,8029990,202604,08 - Fruit and nuts,225.22,27388
Exports,Botswana,8029912,202604,08 - Fruit and nuts,3555.2,143578
Exports,Botswana,8031010,202604,08 - Fruit and nuts,54271.38,785789
Exports,Botswana,8039010,202604,08 - Fruit and nuts,37093.57,578249
Exports,Botswana,8043010,202604,08 - Fruit and nuts,19929.52,238520
Exports,Botswana,8043090,202604,08 - Fruit and nuts,800.0,6799
Exports,Botswana,8042090,202604,08 - Fruit and nuts,11.0,1835
Exports,Botswana,8051090,202604,08 - Fruit and nuts,2654.0,55690
Exports,Botswana,8059090,202604,08 - Fruit and nuts,5845.27,46600
Exports,Botswana,8059010,202604,08 - Fruit and nuts,2425.0,25750
Exports,Botswana,8055090,202604,08 - Fruit and nuts,1274.35,114245
Exports,Botswana,8052990,202604,08 - Fruit and nuts,13.99,183
Exports,Botswana,8052210,202604,08 - Fruit and nuts,1193.39,78888
Exports,Botswana,8052110,202604,08 - Fruit and nuts,1519.3,22488
Exports,Botswana,8052190,202604,08 - Fruit and nuts,418.89,3371
Exports,Botswana,8061000,202604,08 - Fruit and nuts,21152.94,992249
Exports,Botswana,8062000,202604,08 - Fruit and nuts,3622.48,172981
Exports,Botswana,8084000,202604,08 - Fruit and nuts,51.5,1059
Exports,Botswana,8091000,202604,08 - Fruit and nuts,22.6,5450
Exports,Botswana,8112090,202604,08 - Fruit and nuts,86.34,8764
Exports,Botswana,8111090,202604,08 - Fruit and nuts,9.11,3327
Exports,Botswana,8109010,202604,08 - Fruit and nuts,656.58,45010
Exports,Botswana,8109090,202604,08 - Fruit and nuts,2034.85,107308
Exports,Botswana,8109030,202604,08 - Fruit and nuts,400.4,12477
Exports,Botswana,8131000,202604,08 - Fruit and nuts,74.85,10275
Exports,Botswana,8132000,202604,08 - Fruit and nuts,2022.31,96976
Exports,Botswana,8133000,202604,08 - Fruit and nuts,16.6,2613
Exports,Botswana,8011905,202604,08 - Fruit and nuts,900.0,6970
Exports,Botswana,8011210,202604,08 - Fruit and nuts,248.0,6456
Exports,Botswana,8011220,202604,08 - Fruit and nuts,117.83,5241
Exports,Botswana,8026200,202604,08 - Fruit and nuts,35.0,6806
Exports,Botswana,8025100,202604,08 - Fruit and nuts,18.0,4146
Exports,Botswana,8026100,202604,08 - Fruit and nuts,12.3,807
Exports,Botswana,8025200,202604,08 - Fruit and nuts,111.62,26553
Exports,Botswana,8024200,202604,08 - Fruit and nuts,2.0,170
Exports,Botswana,8011990,202604,08 - Fruit and nuts,25.0,2173
Exports,Botswana,8041010,202604,08 - Fruit and nuts,1375.17,98985
Exports,Botswana,8039090,202604,08 - Fruit and nuts,243.2,15448
Exports,Botswana,8041090,202604,08 - Fruit and nuts,1367.97,68243
Exports,Botswana,8042010,202604,08 - Fruit and nuts,137.25,7119
Exports,Botswana,8044010,202604,08 - Fruit and nuts,1777.82,20070
Exports,Botswana,8045011,202604,08 - Fruit and nuts,1999.23,113379
Exports,Botswana,8045019,202604,08 - Fruit and nuts,173.72,8682
Exports,Botswana,8052910,202604,08 - Fruit and nuts,129.52,6705
Exports,Botswana,8045099,202604,08 - Fruit and nuts,298.0,19487
Exports,Botswana,8045091,202604,08 - Fruit and nuts,213.37,29999
Exports,Botswana,8051010,202604,08 - Fruit and nuts,50825.48,340483
Exports,Botswana,8054090,202604,08 - Fruit and nuts,18.42,246
Exports,Botswana,8055010,202604,08 - Fruit and nuts,13667.44,163570
Exports,Botswana,8054010,202604,08 - Fruit and nuts,2134.93,20584
Exports,Botswana,8071900,202604,08 - Fruit and nuts,7279.46,299667
Exports,Botswana,8071100,202604,08 - Fruit and nuts,12831.12,206094
Exports,Botswana,8083000,202604,08 - Fruit and nuts,55514.65,665090
Exports,Botswana,8072000,202604,08 - Fruit and nuts,9663.85,159020
Exports,Botswana,8081000,202604,08 - Fruit and nuts,171593.82,1956249
Exports,Botswana,8104000,202604,08 - Fruit and nuts,638.24,51662
Exports,Botswana,8103000,202604,08 - Fruit and nuts,82.78,1902
Exports,Botswana,8105000,202604,08 - Fruit and nuts,1544.48,69629
Exports,Botswana,8107000,202604,08 - Fruit and nuts,278.5,7377
Exports,Botswana,8119090,202604,08 - Fruit and nuts,1929.91,61576
Exports,Botswana,8134000,202604,08 - Fruit and nuts,1842.07,160647
Exports,Botswana,8135000,202604,08 - Fruit and nuts,4205.04,383514
Exports,Botswana,8119085,202604,08 - Fruit and nuts,310.0,5000
Exports,Democratic Republic Of Congo,8055010,202604,08 - Fruit and nuts,540.0,6300
Exports,Democratic Republic Of Congo,8052110,202604,08 - Fruit and nuts,1344.0,16800
Exports,Democratic Republic Of Congo,8051010,202604,08 - Fruit and nuts,3629.0,45700
Exports,Democratic Republic Of Congo,8052190,202604,08 - Fruit and nuts,7368.0,73680
Exports,Democratic Republic Of Congo,8081000,202604,08 - Fruit and nuts,21495.7,295120
