TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Eswatini,8119005,202112,08 - Fruit and nuts,5.0,1757
Exports,Eswatini,8112010,202112,08 - Fruit and nuts,41.5,1598
Exports,Eswatini,8132000,202112,08 - Fruit and nuts,63.85,5731
Exports,Eswatini,8129090,202112,08 - Fruit and nuts,40.92,1077
Exports,Eswatini,8134000,202112,08 - Fruit and nuts,499.13,24129
Exports,Switzerland,8026200,202206,08 - Fruit and nuts,24969.6,7044602
Exports,Germany,8055010,202206,08 - Fruit and nuts,219448.0,1920000
Exports,Georgia,8054010,202206,08 - Fruit and nuts,40890.0,398615
Exports,Georgia,8055010,202206,08 - Fruit and nuts,495293.01,7394472
Exports,Iraq,8055010,202206,08 - Fruit and nuts,1986448.12,16879899
Exports,Iraq,8051010,202206,08 - Fruit and nuts,346184.6,2987750
Exports,Iraq,8052110,202206,08 - Fruit and nuts,921031.45,13889713
Exports,"Moldova, Republic Of",8055010,202206,08 - Fruit and nuts,24726.0,204427
Exports,Mauritius,8055010,202206,08 - Fruit and nuts,2720.0,25600
Exports,Mauritius,8081000,202206,08 - Fruit and nuts,26767.0,248830
Exports,Malaysia,8051090,202206,08 - Fruit and nuts,23914.94,264030
Exports,Malaysia,8054010,202206,08 - Fruit and nuts,32808.31,335607
Exports,Malaysia,8051010,202206,08 - Fruit and nuts,1584914.59,18224010
Exports,Oman,8055010,202206,08 - Fruit and nuts,102448.0,806273
Exports,Oman,8052110,202206,08 - Fruit and nuts,69302.0,1156515
Exports,Oman,8051010,202206,08 - Fruit and nuts,151797.0,1518085
Exports,Tanzania,8081000,202206,08 - Fruit and nuts,118.69,4253
Exports,Tanzania,8109090,202206,08 - Fruit and nuts,266.68,9555
Exports,United Kingdom,8134000,202206,08 - Fruit and nuts,1000.0,202910
Exports,United Kingdom,8107000,202206,08 - Fruit and nuts,6674.0,110000
Exports,Lithuania,8042090,202206,08 - Fruit and nuts,579.0,81641
Exports,Lesotho,8054010,202206,08 - Fruit and nuts,23.0,90
Exports,Lesotho,8052990,202206,08 - Fruit and nuts,16.0,390
Exports,Lesotho,8059090,202206,08 - Fruit and nuts,1440.0,7168
Exports,Lesotho,8052910,202206,08 - Fruit and nuts,62.8,570
Exports,Lesotho,8055090,202206,08 - Fruit and nuts,41.0,240
Exports,Lesotho,8054090,202206,08 - Fruit and nuts,255.0,2400
Exports,Lesotho,8055010,202206,08 - Fruit and nuts,556.0,1083
Exports,Lesotho,8062000,202206,08 - Fruit and nuts,2202.0,1761
Exports,Lesotho,8061000,202206,08 - Fruit and nuts,429.0,3943
Exports,Lesotho,8059010,202206,08 - Fruit and nuts,75.0,400
Exports,Viet Nam,8013200,202206,08 - Fruit and nuts,16160.0,1585481
Exports,Eswatini,8011190,202206,08 - Fruit and nuts,61.0,1225
Exports,Eswatini,8011910,202206,08 - Fruit and nuts,54.0,1788
Exports,Eswatini,8011110,202206,08 - Fruit and nuts,106.9,7710
Exports,Botswana,8052190,202206,08 - Fruit and nuts,5200.0,21000
Exports,Botswana,8031090,202206,08 - Fruit and nuts,16000.0,189000
Exports,Tanzania,8092900,202206,08 - Fruit and nuts,90.0,900
Exports,Tanzania,8105000,202206,08 - Fruit and nuts,749.0,7206
Exports,Tanzania,8109090,202206,08 - Fruit and nuts,279.0,2400
Exports,Zambia,8081000,202206,08 - Fruit and nuts,79225.54,804986
Exports,Zambia,8062000,202206,08 - Fruit and nuts,1731.85,53290
Exports,Zambia,8071900,202206,08 - Fruit and nuts,963.0,25558
Exports,Zambia,8059090,202206,08 - Fruit and nuts,3101.0,25305
Exports,Zambia,8072000,202206,08 - Fruit and nuts,3777.0,53538
Exports,Zimbabwe,8081000,202206,08 - Fruit and nuts,6640.0,44054
Exports,Zimbabwe,8061000,202206,08 - Fruit and nuts,250.0,3500
Exports,Zimbabwe,8083000,202206,08 - Fruit and nuts,1000.0,3500
Exports,Zimbabwe,8094000,202206,08 - Fruit and nuts,250.0,1600
Exports,Zimbabwe,8059090,202206,08 - Fruit and nuts,80.0,28524
Exports,United Arab Emirates,8055010,202206,08 - Fruit and nuts,528771.8,6150675
Exports,Côte D'ivoire,8052210,202206,08 - Fruit and nuts,10000.0,127410
Exports,Côte D'ivoire,8055010,202206,08 - Fruit and nuts,7000.0,30627
Exports,Canada,8062000,202206,08 - Fruit and nuts,122490.0,3923608
Exports,Canada,8055010,202206,08 - Fruit and nuts,48134.04,442599
Exports,Germany,8062000,202206,08 - Fruit and nuts,300000.0,9545900
Exports,United Arab Emirates,8061000,202112,08 - Fruit and nuts,315248.19,12059796
Exports,United Arab Emirates,8093000,202112,08 - Fruit and nuts,214926.51,6083893
Exports,United Arab Emirates,8091000,202112,08 - Fruit and nuts,12914.65,293982
Exports,United Arab Emirates,8109010,202112,08 - Fruit and nuts,20160.0,1105626
Exports,United Arab Emirates,8094000,202112,08 - Fruit and nuts,51371.0,1070075
Exports,United Arab Emirates,8045010,202112,08 - Fruit and nuts,80640.0,2119518
Exports,United Arab Emirates,8104000,202112,08 - Fruit and nuts,9180.0,760596
Exports,China,8061000,202112,08 - Fruit and nuts,17360.0,713439
Exports,France,8061000,202112,08 - Fruit and nuts,7069.0,250433
Exports,France,8081000,202112,08 - Fruit and nuts,47029.0,716959
Exports,France,8083000,202112,08 - Fruit and nuts,25189.0,326193
Exports,France,8091000,202112,08 - Fruit and nuts,1240.0,102567
Exports,France,8094000,202112,08 - Fruit and nuts,5250.0,195733
Exports,France,8093000,202112,08 - Fruit and nuts,89918.9,2716335
Exports,France,8104000,202112,08 - Fruit and nuts,1296.0,80519
Exports,India,8083000,202112,08 - Fruit and nuts,337829.0,2795690
Exports,India,8081000,202112,08 - Fruit and nuts,23226.0,249312
Exports,Kenya,8081000,202112,08 - Fruit and nuts,21462.0,178775
Exports,Kuwait,8093000,202112,08 - Fruit and nuts,14075.0,487725
Exports,Mauritius,8094000,202112,08 - Fruit and nuts,11269.0,275098
Exports,Mauritius,8061000,202112,08 - Fruit and nuts,12425.0,468017
Exports,Mauritius,8083000,202112,08 - Fruit and nuts,22650.0,229400
Exports,Malaysia,8061000,202112,08 - Fruit and nuts,147798.3,5561591
Exports,Netherlands,8061000,202112,08 - Fruit and nuts,225738.59,6870528
Exports,Netherlands,8094000,202112,08 - Fruit and nuts,40355.5,1158982
Exports,Singapore,8061000,202112,08 - Fruit and nuts,13084.0,504332
Exports,Réunion,8081000,202112,08 - Fruit and nuts,8904.0,103040
Exports,Réunion,8091000,202112,08 - Fruit and nuts,17376.0,459495
Exports,Réunion,8121000,202112,08 - Fruit and nuts,2590.0,252000
Exports,Réunion,8093000,202112,08 - Fruit and nuts,9100.0,221000
Exports,Russian Federation,8061000,202112,08 - Fruit and nuts,65720.0,2700535
Exports,Saudi Arabia,8094000,202112,08 - Fruit and nuts,6290.5,170717
Exports,Saudi Arabia,8093000,202112,08 - Fruit and nuts,12195.0,431258
Exports,Viet Nam,8061000,202112,08 - Fruit and nuts,17220.0,827231
Exports,Botswana,8043010,202112,08 - Fruit and nuts,16.0,159
Exports,Botswana,8061000,202112,08 - Fruit and nuts,17.0,681
Exports,Botswana,8054010,202112,08 - Fruit and nuts,5.0,136
Exports,Botswana,8044010,202112,08 - Fruit and nuts,4.0,159
Exports,Botswana,8081000,202112,08 - Fruit and nuts,120.0,2000
Exports,Botswana,8031010,202112,08 - Fruit and nuts,180.0,1841
Exports,Botswana,8094000,202112,08 - Fruit and nuts,14.0,477
Exports,Lesotho,8044090,202112,08 - Fruit and nuts,1.0,89
Exports,Lesotho,8043010,202112,08 - Fruit and nuts,50.0,300
Exports,Lesotho,8081000,202112,08 - Fruit and nuts,1255.0,4137
Exports,Lesotho,8132000,202112,08 - Fruit and nuts,2.0,80
Exports,Botswana,8091000,202112,08 - Fruit and nuts,15.0,500
Exports,Botswana,8093000,202112,08 - Fruit and nuts,11.0,193
Exports,Lesotho,8041010,202112,08 - Fruit and nuts,1.0,50
Exports,Lesotho,8039010,202112,08 - Fruit and nuts,331.0,1624
Exports,Lesotho,8039090,202112,08 - Fruit and nuts,100.0,400
Exports,Lesotho,8083000,202112,08 - Fruit and nuts,40.0,280
Exports,Lesotho,8093000,202112,08 - Fruit and nuts,83.0,568
Exports,Botswana,8045010,202112,08 - Fruit and nuts,1667.8,11770
Exports,Botswana,8121000,202112,08 - Fruit and nuts,75.0,7194
Exports,Botswana,8132000,202112,08 - Fruit and nuts,912.93,77136
Exports,Botswana,8105000,202112,08 - Fruit and nuts,10.0,570
Exports,Botswana,8104000,202112,08 - Fruit and nuts,454.0,3204
Exports,Botswana,8091000,202112,08 - Fruit and nuts,155.0,4171
Exports,Botswana,8094000,202112,08 - Fruit and nuts,650.95,15240
Exports,Botswana,8101000,202112,08 - Fruit and nuts,344.06,4608
Exports,Botswana,8109090,202112,08 - Fruit and nuts,18.0,126
Exports,Namibia,8132000,202112,08 - Fruit and nuts,3.0,270
Exports,Botswana,8039090,202112,08 - Fruit and nuts,1208.0,8900
Exports,Botswana,8043090,202112,08 - Fruit and nuts,1370.0,6707
Exports,Botswana,8044090,202112,08 - Fruit and nuts,225.0,5550
Exports,Botswana,8029090,202112,08 - Fruit and nuts,1.2,1243
Exports,Botswana,8044010,202112,08 - Fruit and nuts,30.0,4145
Exports,Botswana,8031010,202112,08 - Fruit and nuts,5430.0,66620
Exports,Botswana,8011990,202112,08 - Fruit and nuts,78.0,5934
Exports,Botswana,8134000,202112,08 - Fruit and nuts,1327.76,91287
Exports,Botswana,8135000,202112,08 - Fruit and nuts,165.36,18854
Exports,Botswana,8062000,202112,08 - Fruit and nuts,2772.49,108649
Exports,Botswana,8093000,202112,08 - Fruit and nuts,789.14,8801
Exports,Botswana,8071100,202112,08 - Fruit and nuts,25.0,465
Exports,Botswana,8083000,202112,08 - Fruit and nuts,1800.0,23933
Exports,Botswana,8072000,202112,08 - Fruit and nuts,95.0,1629
Exports,Botswana,8081000,202112,08 - Fruit and nuts,9538.15,93607
Exports,Botswana,8051090,202112,08 - Fruit and nuts,580.0,5611
Exports,Botswana,8055090,202112,08 - Fruit and nuts,1050.0,12250
Exports,Botswana,8061000,202112,08 - Fruit and nuts,2000.2,35856
Exports,Botswana,8045090,202112,08 - Fruit and nuts,1146.75,11801
Exports,Namibia,8031010,202112,08 - Fruit and nuts,14991.0,146421
Exports,Namibia,8039010,202112,08 - Fruit and nuts,1425.48,3310
Exports,Namibia,8011110,202112,08 - Fruit and nuts,25.0,2627
Exports,Namibia,8043010,202112,08 - Fruit and nuts,168.59,1183
Exports,Namibia,8059090,202112,08 - Fruit and nuts,300.0,3483
Exports,Namibia,8041010,202112,08 - Fruit and nuts,1.0,240
Exports,Namibia,8062000,202112,08 - Fruit and nuts,289.71,6088
Exports,Namibia,8091000,202112,08 - Fruit and nuts,90.0,2113
Exports,Namibia,8081000,202112,08 - Fruit and nuts,19504.35,291187
Exports,Namibia,8093000,202112,08 - Fruit and nuts,560.79,10675
Exports,Namibia,8104000,202112,08 - Fruit and nuts,35.65,605
Exports,Namibia,8083000,202112,08 - Fruit and nuts,2804.05,35382
Exports,Namibia,8103000,202112,08 - Fruit and nuts,60.81,135
Exports,Namibia,8092900,202112,08 - Fruit and nuts,98.75,230
Exports,Namibia,8109010,202112,08 - Fruit and nuts,166.84,9754
Exports,Namibia,8101000,202112,08 - Fruit and nuts,424.0,31712
Exports,Namibia,8094000,202112,08 - Fruit and nuts,449.16,7505
Exports,Namibia,8044010,202112,08 - Fruit and nuts,140.0,6792
Exports,Namibia,8039090,202112,08 - Fruit and nuts,153.0,9920
Exports,Namibia,8044090,202112,08 - Fruit and nuts,1935.0,65157
Exports,Namibia,8109090,202112,08 - Fruit and nuts,3280.27,42106
Exports,Namibia,8111010,202112,08 - Fruit and nuts,12.9,714
Exports,Namibia,8105000,202112,08 - Fruit and nuts,293.71,13584
Exports,Canada,8059010,202206,08 - Fruit and nuts,716.0,24159
Exports,Namibia,8051090,202112,08 - Fruit and nuts,7936.0,71512
Exports,Canada,8109090,202206,08 - Fruit and nuts,19.0,1449
Exports,Namibia,8061000,202112,08 - Fruit and nuts,1552.08,40916
Exports,Namibia,8055090,202112,08 - Fruit and nuts,4603.0,52997
Exports,Namibia,8055010,202112,08 - Fruit and nuts,69.74,387
Exports,Namibia,8054010,202112,08 - Fruit and nuts,20.27,45
Exports,Namibia,8072000,202112,08 - Fruit and nuts,1003.21,15094
Exports,Namibia,8051010,202112,08 - Fruit and nuts,1895.71,14914
Exports,Namibia,8043090,202112,08 - Fruit and nuts,2162.0,17090
Exports,Namibia,8045010,202112,08 - Fruit and nuts,127.0,2740
Exports,Namibia,8045090,202112,08 - Fruit and nuts,1620.0,19477
Exports,Malaysia,8109090,202206,08 - Fruit and nuts,1161.0,153689
Exports,Malaysia,8104000,202206,08 - Fruit and nuts,11165.0,1512802
Exports,Malaysia,8134000,202206,08 - Fruit and nuts,135.0,22500
Exports,Poland,8062000,202206,08 - Fruit and nuts,0.53,16
Exports,Qatar,8104000,202206,08 - Fruit and nuts,5401.44,973865
Exports,Rwanda,8081000,202206,08 - Fruit and nuts,25620.0,259646
Exports,Seychelles,8101000,202206,08 - Fruit and nuts,516.0,38303
Exports,Seychelles,8109010,202206,08 - Fruit and nuts,430.0,21068
Exports,Seychelles,8105000,202206,08 - Fruit and nuts,150.0,7440
Exports,Seychelles,8107000,202206,08 - Fruit and nuts,285.0,20163
Exports,Seychelles,8104000,202206,08 - Fruit and nuts,70.0,7604
Exports,Uganda,8081000,202206,08 - Fruit and nuts,153108.0,1237721
Exports,Uganda,8101000,202206,08 - Fruit and nuts,201.0,13713
Exports,Uganda,8061000,202206,08 - Fruit and nuts,2749.0,42500
Exports,Botswana,8023200,202206,08 - Fruit and nuts,721.34,46475
Exports,Botswana,8093000,202206,08 - Fruit and nuts,933.76,81951
Exports,Botswana,8023100,202206,08 - Fruit and nuts,75.0,13728
Exports,Botswana,8021200,202206,08 - Fruit and nuts,1114.51,93933
Exports,Botswana,8022200,202206,08 - Fruit and nuts,42.44,8239
Exports,Botswana,8022100,202206,08 - Fruit and nuts,2.0,345
Exports,Botswana,8102000,202206,08 - Fruit and nuts,2432.66,153346
Exports,Botswana,8101000,202206,08 - Fruit and nuts,5490.57,539114
Exports,Zambia,8062000,202206,08 - Fruit and nuts,935.0,37410
Exports,Mozambique,8041090,202206,08 - Fruit and nuts,28.0,1052
Exports,Iraq,8054090,202206,08 - Fruit and nuts,21657.0,223873
Exports,Iraq,8054010,202206,08 - Fruit and nuts,22420.0,223873
Exports,Mozambique,8025200,202206,08 - Fruit and nuts,17.17,6609
Exports,Mozambique,8029100,202206,08 - Fruit and nuts,853.0,13585
Exports,Mozambique,8109010,202206,08 - Fruit and nuts,129.1,5797
Exports,Mozambique,8105000,202206,08 - Fruit and nuts,5160.65,83755
Exports,Mozambique,8107000,202206,08 - Fruit and nuts,303.0,1036
Exports,Mozambique,8026200,202206,08 - Fruit and nuts,7.4,2836
Exports,Mozambique,8109090,202206,08 - Fruit and nuts,160171.71,1892790
Exports,Lesotho,8011190,202206,08 - Fruit and nuts,5.08,416
Exports,Lesotho,8011110,202206,08 - Fruit and nuts,13.0,693
Exports,Lesotho,8011210,202206,08 - Fruit and nuts,18.0,894
Exports,Lesotho,8101000,202206,08 - Fruit and nuts,367.27,33513
Exports,Lesotho,8093000,202206,08 - Fruit and nuts,47.91,5432
Exports,Lesotho,8102000,202206,08 - Fruit and nuts,723.86,64223
Exports,Lesotho,8103000,202206,08 - Fruit and nuts,7.32,280
Exports,Namibia,8039010,202206,08 - Fruit and nuts,116162.93,1180986
Exports,Namibia,8031010,202206,08 - Fruit and nuts,57576.0,451428
Exports,Eswatini,8092100,202206,08 - Fruit and nuts,96.78,20992
Exports,Eswatini,8083000,202206,08 - Fruit and nuts,84264.66,435382
Exports,Eswatini,8092900,202206,08 - Fruit and nuts,26.34,3686
Exports,Eswatini,8091000,202206,08 - Fruit and nuts,4.63,998
Exports,Belgium,8081000,202206,08 - Fruit and nuts,68553.45,856886
Exports,Canada,8052110,202206,08 - Fruit and nuts,396451.43,5961041
Exports,Canada,8055010,202206,08 - Fruit and nuts,1436028.3,17783833
Exports,Canada,8052910,202206,08 - Fruit and nuts,443864.25,4624108
Exports,Canada,8054010,202206,08 - Fruit and nuts,410133.11,4379173
Exports,Canada,8081000,202206,08 - Fruit and nuts,69175.0,947520
Exports,Malaysia,8083000,202206,08 - Fruit and nuts,11033.0,145156
Exports,Malaysia,8081000,202206,08 - Fruit and nuts,102575.0,1441542
Exports,South Korea,8054010,202206,08 - Fruit and nuts,367420.0,6192800
Exports,Mauritius,8054010,202206,08 - Fruit and nuts,30901.0,280721
Exports,Qatar,8051010,202206,08 - Fruit and nuts,638368.73,6127536
Exports,Qatar,8052110,202206,08 - Fruit and nuts,229592.5,2522948
Exports,Qatar,8052210,202206,08 - Fruit and nuts,27172.6,255777
Exports,Qatar,8055010,202206,08 - Fruit and nuts,470932.51,4607269
Exports,Qatar,8083000,202206,08 - Fruit and nuts,48440.0,581820
Exports,Mozambique,8051010,202208,08 - Fruit and nuts,10848.0,113362
Exports,Mozambique,8081000,202208,08 - Fruit and nuts,12714.0,152568
Exports,Tanzania,8081000,202208,08 - Fruit and nuts,47352.0,250855
Exports,Uganda,8081000,202208,08 - Fruit and nuts,28000.0,301080
Exports,Zambia,8054010,202208,08 - Fruit and nuts,650.0,7475
Exports,Zambia,8052990,202208,08 - Fruit and nuts,50.0,950
Exports,Zambia,8051010,202208,08 - Fruit and nuts,1348536.0,2412535
Exports,Zambia,8055010,202208,08 - Fruit and nuts,5260.0,28740
Exports,Zambia,8059010,202208,08 - Fruit and nuts,1352330.0,6745431
Exports,Zambia,8093000,202208,08 - Fruit and nuts,6270.0,100500
Exports,Zambia,8094000,202208,08 - Fruit and nuts,5760.0,87095
Exports,Zambia,8109090,202208,08 - Fruit and nuts,1840.0,9980
Exports,Zambia,8105000,202208,08 - Fruit and nuts,8400.0,321360
Exports,Zambia,8135000,202208,08 - Fruit and nuts,586.85,33433
Exports,Zambia,8011905,202208,08 - Fruit and nuts,200.0,1460
Exports,Zambia,8062000,202208,08 - Fruit and nuts,214.45,10467
Exports,Zambia,8071900,202208,08 - Fruit and nuts,480.0,3960
Exports,Zambia,8072000,202208,08 - Fruit and nuts,2420.0,15540
Exports,Zambia,8083000,202208,08 - Fruit and nuts,81710.0,494320
Exports,Zambia,8081000,202208,08 - Fruit and nuts,1634108.0,10068721
Exports,Zambia,8061000,202208,08 - Fruit and nuts,8430.0,108880
Exports,Botswana,8022200,202112,08 - Fruit and nuts,70.56,5007
Exports,Botswana,8021200,202112,08 - Fruit and nuts,796.45,22680
Exports,Botswana,8011110,202112,08 - Fruit and nuts,30.0,3654
Exports,Botswana,8023200,202112,08 - Fruit and nuts,208.26,15131
Exports,Botswana,8039090,202112,08 - Fruit and nuts,1007.16,9680
Exports,Botswana,8039010,202112,08 - Fruit and nuts,304910.0,3214180
Exports,Botswana,8044010,202112,08 - Fruit and nuts,7623.48,256161
Exports,Botswana,8041010,202112,08 - Fruit and nuts,1205.0,8755
Exports,Botswana,8041090,202112,08 - Fruit and nuts,1416.0,21997
Exports,Botswana,8044090,202112,08 - Fruit and nuts,885.0,18905
Exports,Botswana,8045010,202112,08 - Fruit and nuts,195831.18,2382485
Exports,Botswana,8045090,202112,08 - Fruit and nuts,29475.36,289087
Exports,Botswana,8055090,202112,08 - Fruit and nuts,2318.0,26665
Exports,Botswana,8061000,202112,08 - Fruit and nuts,86015.72,2318869
Exports,Botswana,8059090,202112,08 - Fruit and nuts,105.0,1747
Exports,Botswana,8062000,202112,08 - Fruit and nuts,4021.93,166609
Exports,Botswana,8055010,202112,08 - Fruit and nuts,10443.0,117255
Exports,Botswana,8083000,202112,08 - Fruit and nuts,60667.0,763567
Exports,Democratic Republic Of Congo,8061000,202112,08 - Fruit and nuts,2400.0,48000
