TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Namibia,8052910,202301,08 - Fruit and nuts,24.0,380
Exports,Poland,8112090,202301,08 - Fruit and nuts,23112.0,610938
Exports,Russian Federation,8021200,202301,08 - Fruit and nuts,360257.58,34214893
Exports,Qatar,8061000,202301,08 - Fruit and nuts,97554.0,3120929
Exports,Saudi Arabia,8091000,202301,08 - Fruit and nuts,9945.0,139537
Exports,Saudi Arabia,8093000,202301,08 - Fruit and nuts,27540.0,638268
Exports,Qatar,8061000,202301,08 - Fruit and nuts,8543.0,73980
Exports,Saudi Arabia,8133000,202301,08 - Fruit and nuts,517.0,85130
Exports,Qatar,8102000,202301,08 - Fruit and nuts,15791.6,3737035
Exports,Qatar,8094000,202301,08 - Fruit and nuts,346.0,1320
Exports,Saudi Arabia,8083000,202301,08 - Fruit and nuts,227079.0,3595547
Exports,Rwanda,8093000,202301,08 - Fruit and nuts,1320.0,26028
Exports,Senegal,8081000,202301,08 - Fruit and nuts,601564.88,8335738
Exports,Ship/Aircraft,8061000,202301,08 - Fruit and nuts,203.01,8247
Exports,Ship/Aircraft,8083000,202301,08 - Fruit and nuts,153.31,6228
Exports,Rwanda,8109010,202301,08 - Fruit and nuts,400.0,6490
Exports,Seychelles,8081000,202301,08 - Fruit and nuts,1802.0,26167
Exports,Ship/Aircraft,8093000,202301,08 - Fruit and nuts,669.32,27189
Exports,Seychelles,8101000,202301,08 - Fruit and nuts,20.0,1200
Exports,Seychelles,8094000,202301,08 - Fruit and nuts,413.0,24834
Exports,Seychelles,8093000,202301,08 - Fruit and nuts,1587.0,78325
Exports,Uganda,8071900,202301,08 - Fruit and nuts,1027.0,15495
Exports,Uganda,8093000,202301,08 - Fruit and nuts,3472.0,51184
Exports,Australia,8134000,202301,08 - Fruit and nuts,70.0,28080
Exports,Uganda,8094000,202301,08 - Fruit and nuts,2839.0,53418
Exports,Hong Kong,8055010,202301,08 - Fruit and nuts,52206.5,868406
Exports,Iraq,8026200,202301,08 - Fruit and nuts,16329.6,3684412
Exports,Madagascar,8011110,202301,08 - Fruit and nuts,250.0,19018
Exports,Mauritius,8081000,202301,08 - Fruit and nuts,44000.01,648267
Exports,Malaysia,8026200,202301,08 - Fruit and nuts,14868.0,4222313
Exports,Singapore,8081000,202301,08 - Fruit and nuts,22932.0,211680
Exports,United Arab Emirates,8104000,202301,08 - Fruit and nuts,11152.0,1219516
Exports,United Arab Emirates,8109090,202301,08 - Fruit and nuts,2804.0,316131
Exports,United Arab Emirates,8132000,202301,08 - Fruit and nuts,1580.0,105885
Exports,Botswana,8021100,202301,08 - Fruit and nuts,20.0,2575
Exports,United Kingdom,8109010,202301,08 - Fruit and nuts,881.0,137792
Exports,Botswana,8022200,202301,08 - Fruit and nuts,5.51,421
Exports,United Kingdom,8102000,202301,08 - Fruit and nuts,174531.33,39177916
Exports,United Kingdom,8109090,202301,08 - Fruit and nuts,117.0,17696
Exports,Hong Kong,8061000,202301,08 - Fruit and nuts,4792.32,331783
Exports,Hong Kong,8104000,202301,08 - Fruit and nuts,5431.68,525141
Exports,Botswana,8023200,202301,08 - Fruit and nuts,413.5,23229
Exports,Hong Kong,8132000,202301,08 - Fruit and nuts,9182.0,609693
Exports,Botswana,8023100,202301,08 - Fruit and nuts,20.0,5285
Exports,Mauritius,8104000,202301,08 - Fruit and nuts,655.66,24624
Exports,Botswana,8094000,202301,08 - Fruit and nuts,64690.58,954461
Exports,Mauritius,8061000,202301,08 - Fruit and nuts,6224.0,179220
Exports,Botswana,8093000,202301,08 - Fruit and nuts,64295.92,1226796
Exports,Mauritius,8093000,202301,08 - Fruit and nuts,15153.34,329645
Exports,Saudi Arabia,8104000,202301,08 - Fruit and nuts,831.0,101383
Exports,Botswana,8101000,202301,08 - Fruit and nuts,3256.75,266674
Exports,Botswana,8102000,202301,08 - Fruit and nuts,3657.3,225543
Exports,Zambia,8026200,202301,08 - Fruit and nuts,11.42,1030
Exports,Zambia,8044090,202301,08 - Fruit and nuts,3.31,471
Exports,Zambia,8062000,202301,08 - Fruit and nuts,13.82,1725
Exports,Zambia,8081000,202301,08 - Fruit and nuts,160.58,3388
Exports,Mozambique,8023200,202301,08 - Fruit and nuts,71.04,14361
Exports,Mozambique,8026200,202301,08 - Fruit and nuts,1.3,426
Exports,Mozambique,8025200,202301,08 - Fruit and nuts,56.43,10671
Exports,Mozambique,8105000,202301,08 - Fruit and nuts,3255.88,70615
Exports,Mozambique,8109090,202301,08 - Fruit and nuts,34314.97,703620
Exports,Lesotho,8011210,202301,08 - Fruit and nuts,21.0,1106
Exports,Lesotho,8011190,202301,08 - Fruit and nuts,6.24,430
Exports,Lesotho,8094000,202301,08 - Fruit and nuts,3413.0,45414
Exports,Lesotho,8093000,202301,08 - Fruit and nuts,31544.2,310614
