TradeType,CountryOfDestinationName,Tariff,YearMonth,ChapterAndDescription,StatisticalQuantity,CustomsValue
Exports,Zambia,8134000,202006,08 - Fruit and nuts,1000.0,24765
Exports,Zambia,8021200,202006,08 - Fruit and nuts,23.23,2000
Exports,Zambia,8013200,202006,08 - Fruit and nuts,14.45,1725
Exports,Zambia,8041090,202006,08 - Fruit and nuts,6.16,530
Exports,Unclassified,8039010,202006,08 - Fruit and nuts,32500.0,390000
Exports,Tanzania,8081000,202006,08 - Fruit and nuts,28000.0,109988
Exports,Kenya,8081000,202006,08 - Fruit and nuts,43236.0,341640
Exports,Kenya,8055010,202006,08 - Fruit and nuts,2800.0,16000
Exports,Kenya,8051010,202006,08 - Fruit and nuts,2000.0,8800
Exports,Kenya,8059090,202006,08 - Fruit and nuts,3000.0,15120
Exports,Kenya,8061000,202006,08 - Fruit and nuts,1200.0,5000
Exports,Democratic Republic Of Congo,8109010,202006,08 - Fruit and nuts,50.0,5500
Exports,Democratic Republic Of Congo,8105000,202006,08 - Fruit and nuts,113.5,8000
Exports,Democratic Republic Of Congo,8109090,202006,08 - Fruit and nuts,65.0,1430
Exports,Democratic Republic Of Congo,8071900,202006,08 - Fruit and nuts,375.0,6900
Exports,Democratic Republic Of Congo,8061000,202006,08 - Fruit and nuts,1475.0,57500
Exports,Democratic Republic Of Congo,8055010,202006,08 - Fruit and nuts,2055.0,19500
Exports,Democratic Republic Of Congo,8054090,202006,08 - Fruit and nuts,300.0,2400
Exports,Democratic Republic Of Congo,8044010,202006,08 - Fruit and nuts,36.0,900
Exports,Democratic Republic Of Congo,8025200,202006,08 - Fruit and nuts,12.5,3455
Exports,Democratic Republic Of Congo,8011990,202006,08 - Fruit and nuts,7.2,537
Exports,Democratic Republic Of Congo,8021200,202006,08 - Fruit and nuts,4.5,936
Exports,Democratic Republic Of Congo,8029090,202006,08 - Fruit and nuts,52.5,11854
Exports,Democratic Republic Of Congo,8011220,202006,08 - Fruit and nuts,100.0,600
Exports,Democratic Republic Of Congo,8011210,202006,08 - Fruit and nuts,150.0,1050
Exports,Democratic Republic Of Congo,8011110,202006,08 - Fruit and nuts,129.6,6523
Exports,Democratic Republic Of Congo,8134000,202006,08 - Fruit and nuts,50.0,719
Exports,Democratic Republic Of Congo,8083000,202006,08 - Fruit and nuts,875.0,9100
Exports,Democratic Republic Of Congo,8081000,202006,08 - Fruit and nuts,8568.0,79034
Exports,Democratic Republic Of Congo,8072000,202006,08 - Fruit and nuts,108.0,1340
